item_id	title	genres	director	producer	actors	release_date	duration	age_rating	imdb_rating	imdb_num_reviews	item_rating_count	popularity	description	genres_list	directors_list	producers_list	actors_list
1301	Stripes (1981)	Comedy	Ivan Reitman	Len Blum, Daniel Goldberg, and Harold Ramis	Bill Murray, John Candy, Harold Ramis, Warren Oates, P.J. Soles, Sean Young, John Larroquette, John Voldstad, John Diehl, Lance LeGault, Roberta Leighton, Conrad Dunn, Judge Reinhold, Antone Pagán, Glenn-Michael Jones, William Lucking, Fran Ryan, and Joe Flaherty	1981	1h 46min	R	6.9	69K	5	unpopular	Two friends who are dissatisfied with their jobs decide to join the army for a bit of fun.	['Comedy']	['Ivan Reitman']	['Len Blum', 'Daniel Goldberg', 'Harold Ramis']	['Bill Murray', 'John Candy', 'Harold Ramis', 'Warren Oates', 'P.J. Soles', 'Sean Young', 'John Larroquette', 'John Voldstad', 'John Diehl', 'Lance LeGault', 'Roberta Leighton', 'Conrad Dunn', 'Judge Reinhold', 'Antone Pagán', 'Glenn-Michael Jones', 'William Lucking', 'Fran Ryan', 'Joe Flaherty']
890	Mortal Kombat: Annihilation (1997)	Action and Adventure	John R. Leonetti	Ed Boon, Lawrence Kasanoff, and Joshua Wexler	Robin Shou, Talisa Soto, James Remar, Sandra Hess, Lynn Red Williams, Brian Thompson, Reiner Schöne, Musetta Vander, Irina Pantaeva, Deron McBee, Marjean Holden, Litefoot, Chris Conrad, John Medlen, J.J. Perry, Tyrone C. Wiggins, Dennis Keiffer, and Ridley Tsui	1997	1h 35min	PG-13	3.7	53K	43	average	A group of martial arts warriors have only six days to save the Earth from an extra-dimensional invasion.	['Action', 'Adventure']	['John R. Leonetti']	['Ed Boon', 'Lawrence Kasanoff', 'Joshua Wexler']	['Robin Shou', 'Talisa Soto', 'James Remar', 'Sandra Hess', 'Lynn Red Williams', 'Brian Thompson', 'Reiner Schöne', 'Musetta Vander', 'Irina Pantaeva', 'Deron McBee', 'Marjean Holden', 'Litefoot', 'Chris Conrad', 'John Medlen', 'J.J. Perry', 'Tyrone C. Wiggins', 'Dennis Keiffer', 'Ridley Tsui']
1635	Two Friends (1986) 	Drama	Jane Campion	Helen Garner	Kris Bidenko, Emma Coles, Kris McQuade, Peter Hehir, Kerry Dwyer, Stephen Leeder, Debra May, John Sheerin, Sean Travers, Emily Stocker, Lynne Murphy, Giovanni Marangoni, Benny Ulizzi, Rory Delaney, Lisa Rogers, Amanda Frederickson, Martin Armiger, and Jim Madias	unknown	unknown	unknown	6.5	305	1	unpopular	The evolving relationship of two teenage girls in Sydney backwards through time, from estrangement to the height of their friendship a year earlier.	['Drama']	['Jane Campion']	['Helen Garner']	['Kris Bidenko', 'Emma Coles', 'Kris McQuade', 'Peter Hehir', 'Kerry Dwyer', 'Stephen Leeder', 'Debra May', 'John Sheerin', 'Sean Travers', 'Emily Stocker', 'Lynne Murphy', 'Giovanni Marangoni', 'Benny Ulizzi', 'Rory Delaney', 'Lisa Rogers', 'Amanda Frederickson', 'Martin Armiger', 'Jim Madias']
837	Meet John Doe (1941)	Drama	Frank Capra	Richard Connell, Robert Presnell Sr., and Robert Riskin	Gary Cooper, Barbara Stanwyck, Edward Arnold, Walter Brennan, Spring Byington, James Gleason, Gene Lockhart, Rod La Rocque, Irving Bacon, Regis Toomey, J. Farrell MacDonald, Warren Hymer, Harry Holman, Andrew Tombes, Pierre Watkin, Stanley Andrews, Mitchell Lewis, and Charles C. Wilson	1941	2h 2min	Passed	7.6	13K	25	average	A penniless drifter is recruited by an ambitious columnist to impersonate a non-existent person who said he'd be committing suicide as a protest, and a political movement begins.	['Drama']	['Frank Capra']	['Richard Connell', 'Robert Presnell Sr.', 'Robert Riskin']	['Gary Cooper', 'Barbara Stanwyck', 'Edward Arnold', 'Walter Brennan', 'Spring Byington', 'James Gleason', 'Gene Lockhart', 'Rod La Rocque', 'Irving Bacon', 'Regis Toomey', 'J. Farrell MacDonald', 'Warren Hymer', 'Harry Holman', 'Andrew Tombes', 'Pierre Watkin', 'Stanley Andrews', 'Mitchell Lewis', 'Charles C. Wilson']
1577	Death in the Garden (Mort en ce jardin, La) (1956)	Drama	Luis Buñuel	Luis Alcoriza, Luis Buñuel, and Raymond Queneau	Simone Signoret, Georges Marchal, Charles Vanel, Michel Piccoli, Tito Junco, Raúl Ramírez, Luis Aceves Castañeda, Jorge Martínez de Hoyos, Alberto Pedret, Marc Lambert, Stefani, Michèle Girardon, José Chávez, Federico Curiel, Alicia del Lago, Manuel Dondé, Enedina Díaz de León, and Agustín Fernández	1956	1h 44min	Not Rated	6.8	2.3K	1	unpopular	Adventurer Shark comes to a small village near a diamond-miners' camp, and local police arrest him, accusing him of having committed a bank robbery in a neighboring town. The police also confiscate the diamond mine for the state, which incites the miners to revolt, but they're defeated. Shark, Father Lizzardi, Castin, his daughter, and Djin, a whore Castin loves, flee into the jungle and fight for their lives.	['Drama']	['Luis Buñuel']	['Luis Alcoriza', 'Luis Buñuel', 'Raymond Queneau']	['Simone Signoret', 'Georges Marchal', 'Charles Vanel', 'Michel Piccoli', 'Tito Junco', 'Raúl Ramírez', 'Luis Aceves Castañeda', 'Jorge Martínez de Hoyos', 'Alberto Pedret', 'Marc Lambert', 'Stefani', 'Michèle Girardon', 'José Chávez', 'Federico Curiel', 'Alicia del Lago', 'Manuel Dondé', 'Enedina Díaz de León', 'Agustín Fernández']
156	Reservoir Dogs (1992)	Crime and Thriller	Quentin Tarantino	Quentin Tarantino and Roger Avary	Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn, Steve Buscemi, Lawrence Tierney, Randy Brooks, Kirk Baltz, Edward Bunker, Quentin Tarantino, Rich Turner, David Steen, Tony Cosmo, Stevo Polyi, Michael Sottile, Robert Ruth, Lawrence Bender, and Linda Kaye	1992	1h 39min	R	8.3	961K	148	average	When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.	['Crime', 'Thriller']	['Quentin Tarantino']	['Quentin Tarantino', 'Roger Avary']	['Harvey Keitel', 'Tim Roth', 'Michael Madsen', 'Chris Penn', 'Steve Buscemi', 'Lawrence Tierney', 'Randy Brooks', 'Kirk Baltz', 'Edward Bunker', 'Quentin Tarantino', 'Rich Turner', 'David Steen', 'Tony Cosmo', 'Stevo Polyi', 'Michael Sottile', 'Robert Ruth', 'Lawrence Bender', 'Linda Kaye']
1537	Cosi (1996)	Comedy	Mark Joffe	Louis Nowra	Ben Mendelsohn, Barry Otto, Toni Collette, Rachel Griffiths, Aden Young, Colin Friels, Jacki Weaver, Pamela Rabe, Paul Chubb, Colin Hay, David Wenham, Tony Llewellyn-Jones, Kerry Walker, Robin Ramsay, Henry Maas, Jack Walsh, Lawrence Woodward, and Brian Ellison	1996	1h 40min	R	6.7	1.9K	4	unpopular	Lewis is a young Sydney amateur theater director at his first experience: he is offered a job with a Governmental program for the rehabilitation of mentally ill patients in a Sydney institution for mentally ill. His project is overrun by one of the patients Roy who wants to put on stage Cosi Fan Tutte (Mozart). None of the patients in the cast is able to sing and none of them knows Italian which is the language of the libretto. Through a lot of difficulties Lewis and his cast develop a deep understanding. The play smartly adapted for the unusual cast is finally produced: lots of unforeseen situations solved 'a la crazy way'but indeed brilliantly. Great success and sad farewell of the director from his cast.	['Comedy']	['Mark Joffe']	['Louis Nowra']	['Ben Mendelsohn', 'Barry Otto', 'Toni Collette', 'Rachel Griffiths', 'Aden Young', 'Colin Friels', 'Jacki Weaver', 'Pamela Rabe', 'Paul Chubb', 'Colin Hay', 'David Wenham', 'Tony Llewellyn-Jones', 'Kerry Walker', 'Robin Ramsay', 'Henry Maas', 'Jack Walsh', 'Lawrence Woodward', 'Brian Ellison']
204	Back to the Future (1985)	Comedy and Sci-Fi	Robert Zemeckis	Robert Zemeckis and Bob Gale	Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover, Thomas F. Wilson, Claudia Wells, Marc McClure, Wendie Jo Sperber, George DiCenzo, Frances Lee McCain, James Tolkan, J.J. Cohen, Casey Siemaszko, Billy Zane, Harry Waters Jr., Donald Fullilove, Lisa Freeman, and Cristen Kauffman	1985	1h 56min	PG	8.5	1.1M	350	popular	Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.	['Comedy', 'Sci-Fi']	['Robert Zemeckis']	['Robert Zemeckis', 'Bob Gale']	['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover', 'Thomas F. Wilson', 'Claudia Wells', 'Marc McClure', 'Wendie Jo Sperber', 'George DiCenzo', 'Frances Lee McCain', 'James Tolkan', 'J.J. Cohen', 'Casey Siemaszko', 'Billy Zane', 'Harry Waters Jr.', 'Donald Fullilove', 'Lisa Freeman', 'Cristen Kauffman']
2	GoldenEye (1995)	Action, Adventure, and Thriller	Martin Campbell	Ian Fleming, Michael France, and Jeffrey Caine	Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker, Judi Dench, Robbie Coltrane, Tchéky Karyo, Gottfried John, Alan Cumming, Desmond Llewelyn, Samantha Bond, Michael Kitchen, Serena Gordon, Simon Kunz, Pavel Douglas, Olivier Lajous, and Billy J. Mitchell	1995	2h 10min	PG-13	7.2	247K	131	average	"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon."	['Action', 'Adventure', 'Thriller']	['Martin Campbell']	['Ian Fleming', 'Michael France', 'Jeffrey Caine']	['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco', 'Famke Janssen', 'Joe Don Baker', 'Judi Dench', 'Robbie Coltrane', 'Tchéky Karyo', 'Gottfried John', 'Alan Cumming', 'Desmond Llewelyn', 'Samantha Bond', 'Michael Kitchen', 'Serena Gordon', 'Simon Kunz', 'Pavel Douglas', 'Olivier Lajous', 'Billy J. Mitchell']
997	Stuart Saves His Family (1995)	Comedy	Harold Ramis	Al Franken	Al Franken, Laura San Giacomo, Vincent DOnofrio, Shirley Knight, Harris Yulin, Lesley Boone, John Graney, Marjorie Lovett, Walter Robles, Erik Cord, Denver Mattson, Grant Hoover, Cory Milano, Michelle Horn, Harris Laskawy, Tom Dugan, Camille Saviola, and Bess Meyer	1995	1h 35min	PG-13	5.3	2.8K	16	average	A self-help advocate struggles to put his dysfunctional family in its place.	['Comedy']	['Harold Ramis']	['Al Franken']	['Al Franken', 'Laura San Giacomo', 'Vincent DOnofrio', 'Shirley Knight', 'Harris Yulin', 'Lesley Boone', 'John Graney', 'Marjorie Lovett', 'Walter Robles', 'Erik Cord', 'Denver Mattson', 'Grant Hoover', 'Cory Milano', 'Michelle Horn', 'Harris Laskawy', 'Tom Dugan', 'Camille Saviola', 'Bess Meyer']
1012	Private Parts (1997)	Comedy and Drama	Betty Thomas	Howard Stern, Len Blum, and Michael Kalesniko	Howard Stern, Mary McCormack, Robin Quivers, Fred Norris, Paul Giamatti, Gary DellAbate, Jackie Martling, Carol Alt, Richard Portnow, Kelly Bishop, Henry Goodman, Jonathan Hadary, Paul Hecht, Allison Janney, Michael Murphy, James Murtaugh, Reni Santoni, and Lee Wilkof	1997	1h 49min	R	6.9	36K	100	average	The autobiographical story of Howard Stern, the radio rebel who is now also a TV personality, an author and a movie star.	['Comedy', 'Drama']	['Betty Thomas']	['Howard Stern', 'Len Blum', 'Michael Kalesniko']	['Howard Stern', 'Mary McCormack', 'Robin Quivers', 'Fred Norris', 'Paul Giamatti', 'Gary DellAbate', 'Jackie Martling', 'Carol Alt', 'Richard Portnow', 'Kelly Bishop', 'Henry Goodman', 'Jonathan Hadary', 'Paul Hecht', 'Allison Janney', 'Michael Murphy', 'James Murtaugh', 'Reni Santoni', 'Lee Wilkof']
185	Psycho (1960)	Horror, Romance, and Thriller	Alfred Hitchcock	Joseph Stefano and Robert Bloch	Anthony Perkins, Janet Leigh, Vera Miles, John Gavin, Martin Balsam, John McIntire, Simon Oakland, Frank Albertson, Patricia Hitchcock, Vaughn Taylor, Lurene Tuttle, John Anderson, Mort Mills, Fletcher Allen, Walter Bacon, Prudence Beers, Kit Carson, and Francis De Sales	1960	1h 49min	R	8.5	633K	239	popular	A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.	['Horror', 'Romance', 'Thriller']	['Alfred Hitchcock']	['Joseph Stefano', 'Robert Bloch']	['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin', 'Martin Balsam', 'John McIntire', 'Simon Oakland', 'Frank Albertson', 'Patricia Hitchcock', 'Vaughn Taylor', 'Lurene Tuttle', 'John Anderson', 'Mort Mills', 'Fletcher Allen', 'Walter Bacon', 'Prudence Beers', 'Kit Carson', 'Francis De Sales']
1052	Dracula: Dead and Loving It (1995)	Comedy and Horror	Mel Brooks	Mel Brooks, Rudy De Luca, and Steve Haberman	Leslie Nielsen, Mel Brooks, Peter MacNicol, Steven Weber, Amy Yasbeck, Lysette Anthony, Harvey Korman, Mark Blankfield, Megan Cavanagh, Clive Revill, Chuck McCann, Avery Schreiber, Cherie Franklin, Ezio Greggio, Leslie S. Sachs, Matthew Porretta, Rudy De Luca, and Jennifer Crystal Foley	1995	1h 28min	PG-13	5.9	40K	25	average	Mel Brooks ' parody of the classic vampire story and its famous film adaptations.	['Comedy', 'Horror']	['Mel Brooks']	['Mel Brooks', 'Rudy De Luca', 'Steve Haberman']	['Leslie Nielsen', 'Mel Brooks', 'Peter MacNicol', 'Steven Weber', 'Amy Yasbeck', 'Lysette Anthony', 'Harvey Korman', 'Mark Blankfield', 'Megan Cavanagh', 'Clive Revill', 'Chuck McCann', 'Avery Schreiber', 'Cherie Franklin', 'Ezio Greggio', 'Leslie S. Sachs', 'Matthew Porretta', 'Rudy De Luca', 'Jennifer Crystal Foley']
1641	Dadetown (1995)	Documentary	Russ Hexter	Russ Hexter and John Housley	Jim Pryor, Stephen Beals, Fred Worrell, Edith Meeks, Joseph Leone, Bill Garrison, Valerie Gilbert, Ken Klamm, Jerry Lewkowitz, Richard Stillman, and Rick Leisenring	1995	1h 33min	unknown	7.1	210	1	unpopular	"Interviews in the Michael Moore/""Roger and Me"" tradition examine life in small-town America, class conflicts and the collapse of an upstate New York community, Dadetown, when the town's once-prosperous factory, reduced to the manufacture of paper clips and staples, finally closes. Facing massive unemployment, the blue-collar Dadetown residents next find yuppies moving into town to staff the local division of a big computer outfit."	['Documentary']	['Russ Hexter']	['Russ Hexter', 'John Housley']	['Jim Pryor', 'Stephen Beals', 'Fred Worrell', 'Edith Meeks', 'Joseph Leone', 'Bill Garrison', 'Valerie Gilbert', 'Ken Klamm', 'Jerry Lewkowitz', 'Richard Stillman', 'Rick Leisenring']
1199	Cemetery Man (Dellamorte Dellamore) (1994)	Comedy and Horror	Lee Buckley and Juan Carlos Bagnell	 and 	Lee Buckley and Juan Carlos Bagnell	unknown	unknown	unknown	unknown	unknown	23	average	"It looks like we don't have any Plot Summaries for this title yet.
Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide."	['Comedy', 'Horror']	['Lee Buckley', 'Juan Carlos Bagnell']	['', '']	['Lee Buckley', 'Juan Carlos Bagnell']
1265	Star Maps (1997)	Drama	Miguel Arteta	Miguel Arteta and Matthew Greenfield	Douglas Spain, Efrain Figueroa, Kandeyce Jorden, Martha Velez, Lysa Flores, Annette Murphy, Robin Thomas, Vincent Chandler, Al Vicente, Herbert Siguenza, Jeffrey Sanna, Jeff Michalski, Beth Colt, Zak Penn, Mike White, Luis Guizar, Alejandro Parra, and Caesar Garcia	1997	1h 26min	R	5.7	990	19	average	Only in America. Only in Hollywood. Only in Beverly Hills could a young man with a dream make his way to the stars. Carlos is a precocious 18 year-old who returns to America from Mexico with dreams of becoming a movie star.	['Drama']	['Miguel Arteta']	['Miguel Arteta', 'Matthew Greenfield']	['Douglas Spain', 'Efrain Figueroa', 'Kandeyce Jorden', 'Martha Velez', 'Lysa Flores', 'Annette Murphy', 'Robin Thomas', 'Vincent Chandler', 'Al Vicente', 'Herbert Siguenza', 'Jeffrey Sanna', 'Jeff Michalski', 'Beth Colt', 'Zak Penn', 'Mike White', 'Luis Guizar', 'Alejandro Parra', 'Caesar Garcia']
1171	Wild Reeds (1994)	Drama	André Téchiné	Olivier Massart, Gilles Taurand, and André Téchiné	Élodie Bouchez, Gaël Morel, Stéphane Rideau, Frédéric Gorny, Michèle Moretti, Jacques Nolot, Eric Kreikenmayer, Nathalie Vignes, Michel Ruhl, Fatia Maite, Claudine Taulère, Elodie Soulinhac, Dominique Bovard, Monsieur Simonet, Chief Officer Carre, Paul Simonet, Charles Picot, and Christophe Maitre	1994	1h 50min	Not Rated	7.4	5.6K	14	average	The fates of two homosexual partners are divided.	['Drama']	['André Téchiné']	['Olivier Massart', 'Gilles Taurand', 'André Téchiné']	['Élodie Bouchez', 'Gaël Morel', 'Stéphane Rideau', 'Frédéric Gorny', 'Michèle Moretti', 'Jacques Nolot', 'Eric Kreikenmayer', 'Nathalie Vignes', 'Michel Ruhl', 'Fatia Maite', 'Claudine Taulère', 'Elodie Soulinhac', 'Dominique Bovard', 'Monsieur Simonet', 'Chief Officer Carre', 'Paul Simonet', 'Charles Picot', 'Christophe Maitre']
